column,missing_n,missing_percent,non_numeric_n,E_code_n,T_code_n
ID,0,0.0,,,
Sex,0,0.0,,,
Age,0,0.0,,,
Height_cm,0,0.0,,,
Weight_kg,0,0.0,,,
BMI,0,0.0,,,
cluster,0,0.0,,,
VAS_Avg.,0,0.0,,,
VAS_1min,0,0.0,0,0,0
VAS_2min,0,0.0,1,0,1
VAS_3min,0,0.0,1,0,1
VAS_4min,0,0.0,2,0,2
VAS_5min,0,0.0,3,0,3
VAS_6min,0,0.0,3,0,3
VAS_7min,0,0.0,3,0,3
VAS_8min,0,0.0,4,1,3
VAS_9min,0,0.0,6,1,5
VAS_10min,0,0.0,8,2,6
VAS_11min,0,0.0,20,14,6
VAS_12min,0,0.0,22,16,6
VAS_13min,0,0.0,28,22,6
VAS_14min,0,0.0,37,30,7
VAS_15min,0,0.0,44,37,7
VAS_16min,0,0.0,89,81,8
VAS_17min,0,0.0,131,122,9
VAS_18min,0,0.0,144,135,9
VAS_19min,0,0.0,155,146,9
VAS_20min,0,0.0,159,150,9
