variable,count,mean,std,min,25%,median,75%,max
Age,216.0,20.375,1.866,18.0,19.0,20.0,21.0,38.0
Height_cm,216.0,167.233,8.851,150.0,160.0,166.0,174.25,195.0
Weight_kg,216.0,60.258,12.009,40.0,52.0,57.0,67.0,112.0
BMI,216.0,21.448,3.31,15.9,18.975,20.9,23.0,36.6
Spicy_food_frequency,216.0,2.287,1.154,0.0,2.0,2.0,3.0,4.0
Usual_spiciness_level,216.0,2.796,1.063,1.0,2.0,3.0,3.0,5.0
Spicy_food_preference,216.0,3.204,1.106,1.0,2.0,3.0,4.0,5.0
Max_tolerable_spiciness,216.0,3.296,1.0,1.0,3.0,3.0,4.0,5.0
CCEI,216.0,20.093,14.793,0.0,9.0,18.0,27.0,80.0
Time_since_last_intake_h,216.0,9.719,4.659,0.5,7.9,9.65,10.825,24.0
Spicy_episodes_24h,216.0,0.944,1.068,0.0,0.0,1.0,2.0,5.0
AES,216.0,5.324,6.837,0.0,0.0,2.0,9.0,32.0
Time_since_last_meal_h,216.0,3.998,1.898,1.0,2.6,3.9,5.225,9.7
mean_HR,216.0,928.056,679.409,64.184,644.828,809.13,1022.149,4263.994
SDNN,216.0,276.421,108.252,6.465,224.055,285.137,348.476,875.838
RMSSD,216.0,496.169,240.489,0.223,385.385,511.066,686.56,1029.2
LF_HF_ratio,216.0,3.878,11.769,0.106,0.282,0.455,0.678,65.571
ECG_SQI,216.0,75.304,2.57,64.873,73.482,75.745,76.634,81.376
dominant_freq_cpm,216.0,1.579,0.906,1.0,1.0,1.0,2.0,5.0
pct_normogastria,216.0,45.58,13.697,10.528,37.043,44.542,55.155,75.799
EGG_SQI,216.0,99.613,1.452,88.079,99.951,99.996,100.0,100.0
VAS_Avg.,216.0,4.646,1.84,1.0,3.0,5.0,6.0,10.0
rome_match_score,216.0,3.37,2.855,0.0,0.0,4.0,6.0,10.0
predicted_vas_delta,213.0,0.155,0.097,-0.083,0.076,0.18,0.229,0.348
target_vas_delta,213.0,0.171,0.086,0.0,0.114,0.172,0.229,0.391
