time_min,n_valid,n_E_code,n_T_code,mean,sd,median,q1,q3
1,216,0,0,3.0,2.07,3.0,1.0,4.0
2,215,0,1,3.82,2.05,4.0,2.0,5.0
3,215,0,1,4.17,2.07,4.0,3.0,5.0
4,214,0,2,4.22,2.05,4.0,3.0,6.0
5,213,0,3,4.09,2.14,4.0,2.0,5.0
6,213,0,3,3.98,2.14,4.0,2.0,5.0
7,213,0,3,3.76,2.15,3.0,2.0,5.0
8,212,1,3,3.66,2.21,3.0,2.0,5.0
9,210,1,5,3.43,2.15,3.0,2.0,5.0
10,208,2,6,3.31,2.1,3.0,2.0,5.0
11,196,14,6,3.31,2.13,3.0,2.0,5.0
12,194,16,6,3.2,2.06,3.0,1.25,5.0
13,188,22,6,3.07,2.07,3.0,1.0,4.0
14,179,30,7,3.0,2.03,3.0,1.0,4.0
15,172,37,7,2.94,2.04,2.5,1.0,4.0
16,127,81,8,3.06,2.0,3.0,1.0,5.0
17,85,122,9,2.89,2.01,2.0,1.0,4.0
18,72,135,9,2.88,1.86,2.5,1.0,4.0
19,61,146,9,2.8,2.02,2.0,1.0,4.0
20,57,150,9,2.93,2.15,2.0,1.0,5.0
