cluster,region,weight
0,epigastrium,0.0030211480362537764
0,hypogastrium,0.10574018126888217
0,left hypochondrium,0.045317220543806644
0,right hypochondrium,0.13595166163141995
0,right lumbar,0.03927492447129909
1,epigastrium,0.003134796238244514
1,hypogastrium,0.09404388714733543
1,left hypochondrium,0.07210031347962383
1,right hypochondrium,0.1786833855799373
1,right inguinal,0.003134796238244514
1,right lumbar,0.050156739811912224
1,umbilical,0.003134796238244514
2,hypogastrium,0.11065573770491803
2,left hypochondrium,0.04918032786885246
2,left inguinal,0.020491803278688523
2,left lumbar,0.00819672131147541
2,right hypochondrium,0.1557377049180328
2,right inguinal,0.02459016393442623
2,right lumbar,0.05737704918032787
2,umbilical,0.004098360655737705
