cluster,symptom,weight
0,abdominal distension,0.1661631419939577
0,abdominal pain,0.09063444108761329
0,acid regurgitation,0.054380664652567974
0,belching,0.03927492447129909
0,bloating,0.027190332326283987
0,heartburn,0.021148036253776436
0,irritability,0.04229607250755287
0,loss of appetite,0.015105740181268883
0,nausea,0.13293051359516617
0,palpitations,0.03927492447129909
0,tenesmus,0.012084592145015106
0,vomiting,0.030211480362537766
1,abdominal distension,0.18495297805642633
1,abdominal pain,0.0877742946708464
1,acid regurgitation,0.03761755485893417
1,belching,0.025078369905956112
1,bloating,0.04075235109717868
1,heartburn,0.012539184952978056
1,irritability,0.03134796238244514
1,loss of appetite,0.018808777429467086
1,nausea,0.07523510971786834
1,palpitations,0.02821316614420063
1,tenesmus,0.0219435736677116
1,vomiting,0.03134796238244514
2,abdominal distension,0.16393442622950818
2,abdominal pain,0.10655737704918032
2,acid regurgitation,0.04918032786885246
2,belching,0.02459016393442623
2,bloating,0.02459016393442623
2,heartburn,0.02459016393442623
2,irritability,0.012295081967213115
2,loss of appetite,0.00819672131147541
2,nausea,0.06967213114754098
2,palpitations,0.02459016393442623
2,tenesmus,0.02459016393442623
2,vomiting,0.036885245901639344
