model,true_cluster,predicted_cluster,count
SparseLogistic,0,0,42
SparseLogistic,0,1,10
SparseLogistic,0,2,6
SparseLogistic,1,0,20
SparseLogistic,1,1,36
SparseLogistic,1,2,28
SparseLogistic,2,0,6
SparseLogistic,2,1,23
SparseLogistic,2,2,45
LogisticRegression,0,0,36
LogisticRegression,0,1,14
LogisticRegression,0,2,8
LogisticRegression,1,0,21
LogisticRegression,1,1,34
LogisticRegression,1,2,29
LogisticRegression,2,0,6
LogisticRegression,2,1,29
LogisticRegression,2,2,39
SVM_RBF,0,0,32
SVM_RBF,0,1,21
SVM_RBF,0,2,5
SVM_RBF,1,0,18
SVM_RBF,1,1,41
SVM_RBF,1,2,25
SVM_RBF,2,0,4
SVM_RBF,2,1,29
SVM_RBF,2,2,41
SVM_Linear,0,0,39
SVM_Linear,0,1,13
SVM_Linear,0,2,6
SVM_Linear,1,0,23
SVM_Linear,1,1,37
SVM_Linear,1,2,24
SVM_Linear,2,0,5
SVM_Linear,2,1,26
SVM_Linear,2,2,43
RidgeClassifier,0,0,39
RidgeClassifier,0,1,13
RidgeClassifier,0,2,6
RidgeClassifier,1,0,22
RidgeClassifier,1,1,25
RidgeClassifier,1,2,37
RidgeClassifier,2,0,10
RidgeClassifier,2,1,31
RidgeClassifier,2,2,33
KNN_Distance,0,0,30
KNN_Distance,0,1,18
KNN_Distance,0,2,10
KNN_Distance,1,0,9
KNN_Distance,1,1,39
KNN_Distance,1,2,36
KNN_Distance,2,0,7
KNN_Distance,2,1,24
KNN_Distance,2,2,43
RandomForest,0,0,45
RandomForest,0,1,7
RandomForest,0,2,6
RandomForest,1,0,27
RandomForest,1,1,28
RandomForest,1,2,29
RandomForest,2,0,7
RandomForest,2,1,19
RandomForest,2,2,48
ExtraTrees,0,0,43
ExtraTrees,0,1,8
ExtraTrees,0,2,7
ExtraTrees,1,0,17
ExtraTrees,1,1,43
ExtraTrees,1,2,24
ExtraTrees,2,0,8
ExtraTrees,2,1,19
ExtraTrees,2,2,47
HistGradientBoosting,0,0,37
HistGradientBoosting,0,1,13
HistGradientBoosting,0,2,8
HistGradientBoosting,1,0,15
HistGradientBoosting,1,1,42
HistGradientBoosting,1,2,27
HistGradientBoosting,2,0,4
HistGradientBoosting,2,1,27
HistGradientBoosting,2,2,43
GaussianNB,0,0,11
GaussianNB,0,1,10
GaussianNB,0,2,37
GaussianNB,1,0,6
GaussianNB,1,1,10
GaussianNB,1,2,68
GaussianNB,2,0,4
GaussianNB,2,1,10
GaussianNB,2,2,60
