model,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,f1_macro_mean,f1_macro_sd,f1_weighted_mean,f1_weighted_sd
ExtraTrees,0.7915584415584416,0.09690187150752565,0.7895634920634921,0.09259083835576833,0.7844817431736936,0.0948901132352608,0.7893808414146861,0.10023551700276709
SparseLogistic,0.748917748917749,0.11985167272646863,0.750568783068783,0.11964202722137654,0.7432928291751821,0.11897508274301115,0.7453869904605199,0.11996219383242389
RandomForest,0.7365800865800866,0.11404756222035127,0.743531746031746,0.10735665103223758,0.7337439847733965,0.10860558392175278,0.7359446191063839,0.11409735670537165
RidgeClassifier,0.7259740259740259,0.07073798540826672,0.7340343915343915,0.06663758808218441,0.7225534939776426,0.07070213552383674,0.7226399494897947,0.07302140657041357
HistGradientBoosting,0.7309523809523809,0.07351557756557373,0.7252513227513228,0.08159157554050883,0.7222339923578314,0.07842538369633072,0.7289469702124501,0.07580892578314909
SVM_RBF,0.7125541125541125,0.09516591781564852,0.706005291005291,0.09571659873407172,0.7041398284664538,0.09761034076517862,0.7101834994862014,0.09700490011740316
LogisticRegression,0.7028138528138529,0.09350075918141089,0.7001190476190475,0.09157009652008569,0.6988517645638389,0.09331129207707925,0.7029674135243373,0.09242016310321806
SVM_Linear,0.6887445887445887,0.1083731551126466,0.6814153439153439,0.10927853211378559,0.6808974350383019,0.10729308311703403,0.6896647975894388,0.10639536669427775
KNN_Distance,0.648051948051948,0.09545211860720948,0.6307142857142857,0.10079457274209146,0.6297529213705684,0.10815054128371435,0.639365156530932,0.0982349106877386
GaussianNB,0.504978354978355,0.09456367310596918,0.48853174603174604,0.09195558679525474,0.4630989163342104,0.09934939650452282,0.4781136538814155,0.09527954828798522
